group,n,weight,value,item
00Uncorrelated,50,130802,180893,31
00Uncorrelated,100,240683,363109,62
00Uncorrelated,200,506751,809158,120
00Uncorrelated,500,1266118,2055415,307
00Uncorrelated,1000,2496728,3710257,605
00Uncorrelated,2000,4936470,7064208,1180
01WeaklyCorrelated,50,132018,147474,26
01WeaklyCorrelated,100,247747,272610,50
01WeaklyCorrelated,200,491678,546870,106
01WeaklyCorrelated,500,1269386,1399425,276
01WeaklyCorrelated,1000,2512454,2686561,502
01WeaklyCorrelated,2000,4859652,5195693,1009
02StronglyCorrelated,50,116210,151210,35
02StronglyCorrelated,100,237224,306224,69
02StronglyCorrelated,200,475214,613214,138
02StronglyCorrelated,500,1224224,1556224,332
02StronglyCorrelated,1000,2491371,3121371,630
02StronglyCorrelated,2000,4961267,6146267,1185
03InverseStronglyCorrelated,50,164699,147699,17
03InverseStronglyCorrelated,100,299596,266596,33
03InverseStronglyCorrelated,200,613554,548554,65
03InverseStronglyCorrelated,500,1499561,1325561,174
03InverseStronglyCorrelated,1000,2880138,2527138,353
03InverseStronglyCorrelated,2000,6025288,5217288,808
04AlmostStronglyCorrelated,50,123270,157377,34
04AlmostStronglyCorrelated,100,244006,312827,69
04AlmostStronglyCorrelated,200,502913,640251,137
04AlmostStronglyCorrelated,500,1232312,1565604,333
04AlmostStronglyCorrelated,1000,2409511,3062337,653
04AlmostStronglyCorrelated,2000,4925859,6105275,1179
05SubsetSum,50,108240,108240,23
05SubsetSum,100,233898,233898,43
05SubsetSum,200,502063,502063,93
05SubsetSum,500,1209964,1209964,243
05SubsetSum,1000,2418676,2418676,492
05SubsetSum,2000,5004504,5004504,984
06UncorrelatedWithSimilarWeights,50,2401329,17809,24
06UncorrelatedWithSimilarWeights,100,4902375,36217,49
06UncorrelatedWithSimilarWeights,200,9904872,74478,99
06UncorrelatedWithSimilarWeights,500,24711882,183875,247
06UncorrelatedWithSimilarWeights,1000,49524772,371725,495
06UncorrelatedWithSimilarWeights,2000,99048321,630735,990
07SpannerUncorrelated,50,62949,97860,33
07SpannerUncorrelated,100,117042,236570,71
07SpannerUncorrelated,200,10072,620803,145
07SpannerUncorrelated,500,433650,1142583,288
07SpannerUncorrelated,1000,1910240,836288,405
07SpannerUncorrelated,2000,2698998,2175780,1253
08SpannerWeaklyCorrelated,50,82271,206954,26
08SpannerWeaklyCorrelated,100,99892,376154,75
08SpannerWeaklyCorrelated,200,201955,574637,120
08SpannerWeaklyCorrelated,500,791435,2102690,304
08SpannerWeaklyCorrelated,1000,1047876,3140604,560
08SpannerWeaklyCorrelated,2000,822568,5127708,1050
09SpannerStronglyCorrelated,50,89319,260319,29
09SpannerStronglyCorrelated,100,101208,401208,61
09SpannerStronglyCorrelated,200,394216,966216,106
09SpannerStronglyCorrelated,500,587316,1982316,263
09SpannerStronglyCorrelated,1000,1059625,4629625,666
09SpannerStronglyCorrelated,2000,1260780,8361780,1246
10MultipleStronglyCorrelated,50,120766,195766,34
10MultipleStronglyCorrelated,100,243707,401707,71
10MultipleStronglyCorrelated,200,476795,781795,136
10MultipleStronglyCorrelated,500,1201291,1929291,330
10MultipleStronglyCorrelated,1000,2502611,3963611,658
10MultipleStronglyCorrelated,2000,4878732,7552732,1211
11ProfitCeiling,50,116586,116568,20
11ProfitCeiling,100,243435,243399,45
11ProfitCeiling,200,497719,497637,90
11ProfitCeiling,500,1249679,1249497,226
11ProfitCeiling,1000,2394000,2393646,441
11ProfitCeiling,2000,4936244,4935504,909
12Circle,50,129609,8640160,22
12Circle,100,254769,16983731,44
12Circle,200,513049,34201513,87
12Circle,500,1230885,82054788,225
12Circle,1000,2443749,162908226,455
12Circle,2000,4770600,318023644,913
