group,n,weight,value,item
00Uncorrelated,50,130802,180893,31
00Uncorrelated,100,240633,362448,60
00Uncorrelated,200,506412,807172,120
00Uncorrelated,500,1265871,2028124,301
00Uncorrelated,1000,2496897,3706635,604
00Uncorrelated,2000,4938103,6867450,1163
01WeaklyCorrelated,50,132018,147474,26
01WeaklyCorrelated,100,247811,271896,50
01WeaklyCorrelated,200,491678,546870,106
01WeaklyCorrelated,500,1269616,1398421,276
01WeaklyCorrelated,1000,2512433,2676873,497
01WeaklyCorrelated,2000,4859542,5168220,1010
02StronglyCorrelated,50,116210,151210,35
02StronglyCorrelated,100,237224,306224,69
02StronglyCorrelated,200,475213,611213,136
02StronglyCorrelated,500,1223586,1553586,330
02StronglyCorrelated,1000,2490405,3114405,624
02StronglyCorrelated,2000,4961267,6146267,1185
03InverseStronglyCorrelated,50,164699,147699,17
03InverseStronglyCorrelated,100,299596,266596,33
03InverseStronglyCorrelated,200,613568,547568,66
03InverseStronglyCorrelated,500,1499575,1324575,175
03InverseStronglyCorrelated,1000,2880137,2527137,353
03InverseStronglyCorrelated,2000,6025641,5216641,809
04AlmostStronglyCorrelated,50,123270,157377,34
04AlmostStronglyCorrelated,100,244006,312827,69
04AlmostStronglyCorrelated,200,502913,640251,137
04AlmostStronglyCorrelated,500,1232279,1564592,332
04AlmostStronglyCorrelated,1000,2410277,3060125,650
04AlmostStronglyCorrelated,2000,4925959,6099385,1173
05SubsetSum,50,108240,108240,23
05SubsetSum,100,233898,233898,43
05SubsetSum,200,502063,502063,93
05SubsetSum,500,1209964,1209964,243
05SubsetSum,1000,2418676,2418676,492
05SubsetSum,2000,5004504,5004504,984
06UncorrelatedWithSimilarWeights,50,2401329,17809,24
06UncorrelatedWithSimilarWeights,100,4902375,36217,49
06UncorrelatedWithSimilarWeights,200,9904913,74470,99
06UncorrelatedWithSimilarWeights,500,24711950,183347,247
06UncorrelatedWithSimilarWeights,1000,49524766,366306,495
06UncorrelatedWithSimilarWeights,2000,99047878,614265,990
07SpannerUncorrelated,50,62949,97860,33
07SpannerUncorrelated,100,117042,236570,71
07SpannerUncorrelated,200,10072,620803,145
07SpannerUncorrelated,500,433621,1141439,288
07SpannerUncorrelated,1000,1910204,829403,423
07SpannerUncorrelated,2000,2699059,2126827,1230
08SpannerWeaklyCorrelated,50,82271,206954,26
08SpannerWeaklyCorrelated,100,99892,376154,75
08SpannerWeaklyCorrelated,200,201955,574637,120
08SpannerWeaklyCorrelated,500,791435,2102690,304
08SpannerWeaklyCorrelated,1000,1047799,3105485,553
08SpannerWeaklyCorrelated,2000,822552,5032180,1040
09SpannerStronglyCorrelated,50,89319,260319,29
09SpannerStronglyCorrelated,100,101208,401208,61
09SpannerStronglyCorrelated,200,394216,966216,106
09SpannerStronglyCorrelated,500,587316,1982316,263
09SpannerStronglyCorrelated,1000,1059567,4602567,657
09SpannerStronglyCorrelated,2000,1260278,8198278,1223
10MultipleStronglyCorrelated,50,120766,195766,34
10MultipleStronglyCorrelated,100,243662,401662,71
10MultipleStronglyCorrelated,200,476795,781795,136
10MultipleStronglyCorrelated,500,1201205,1929205,330
10MultipleStronglyCorrelated,1000,2502692,3945692,651
10MultipleStronglyCorrelated,2000,4878719,7503719,1189
11ProfitCeiling,50,116586,116565,22
11ProfitCeiling,100,243435,243399,45
11ProfitCeiling,200,497719,497637,90
11ProfitCeiling,500,1249679,1249497,226
11ProfitCeiling,1000,2393999,2393643,444
11ProfitCeiling,2000,4936244,4935504,909
12Circle,50,129609,8640160,22
12Circle,100,254769,16983731,44
12Circle,200,513049,34201513,87
12Circle,500,1230885,82054788,225
12Circle,1000,2443749,162908226,455
12Circle,2000,4770600,318023644,913
