group,n,weight,value,item
00Uncorrelated,50,130854,179770,29
00Uncorrelated,100,240412,358988,61
00Uncorrelated,200,505159,782411,120
00Uncorrelated,500,1266225,1832476,283
00Uncorrelated,1000,2496513,3256394,562
00Uncorrelated,2000,4933654,6048001,1076
01WeaklyCorrelated,50,131972,147389,25
01WeaklyCorrelated,100,247527,271609,51
01WeaklyCorrelated,200,491532,535921,101
01WeaklyCorrelated,500,1269690,1355055,253
01WeaklyCorrelated,1000,2512375,2635019,502
01WeaklyCorrelated,2000,4859777,5038583,1010
02StronglyCorrelated,50,116197,151197,35
02StronglyCorrelated,100,236763,304763,68
02StronglyCorrelated,200,475207,606207,131
02StronglyCorrelated,500,1224272,1535272,311
02StronglyCorrelated,1000,2491360,3075360,584
02StronglyCorrelated,2000,4961808,6084808,1123
03InverseStronglyCorrelated,50,164555,147555,17
03InverseStronglyCorrelated,100,298889,263889,35
03InverseStronglyCorrelated,200,613587,543587,70
03InverseStronglyCorrelated,500,1499099,1312099,187
03InverseStronglyCorrelated,1000,2879963,2480963,399
03InverseStronglyCorrelated,2000,6025487,5168487,857
04AlmostStronglyCorrelated,50,123260,157355,34
04AlmostStronglyCorrelated,100,243906,311739,68
04AlmostStronglyCorrelated,200,502925,632242,129
04AlmostStronglyCorrelated,500,1232261,1543204,311
04AlmostStronglyCorrelated,1000,2410165,3004782,595
04AlmostStronglyCorrelated,2000,4925837,6068989,1143
05SubsetSum,50,108240,108240,20
05SubsetSum,100,233898,233898,47
05SubsetSum,200,502063,502063,92
05SubsetSum,500,1209964,1209964,242
05SubsetSum,1000,2418676,2418676,482
05SubsetSum,2000,5004504,5004504,996
06UncorrelatedWithSimilarWeights,50,2401378,17718,24
06UncorrelatedWithSimilarWeights,100,4902379,35672,49
06UncorrelatedWithSimilarWeights,200,9904946,71395,99
06UncorrelatedWithSimilarWeights,500,24712284,164205,247
06UncorrelatedWithSimilarWeights,1000,49524319,307833,495
06UncorrelatedWithSimilarWeights,2000,99049457,582313,990
07SpannerUncorrelated,50,62949,97860,30
07SpannerUncorrelated,100,117042,236570,72
07SpannerUncorrelated,200,10040,614155,143
07SpannerUncorrelated,500,433367,1111396,281
07SpannerUncorrelated,1000,1910240,788282,461
07SpannerUncorrelated,2000,2698167,1916562,1133
08SpannerWeaklyCorrelated,50,82271,206954,28
08SpannerWeaklyCorrelated,100,100239,375547,72
08SpannerWeaklyCorrelated,200,202179,561711,114
08SpannerWeaklyCorrelated,500,791710,1882420,278
08SpannerWeaklyCorrelated,1000,1047879,2528157,523
08SpannerWeaklyCorrelated,2000,822464,4765840,1019
09SpannerStronglyCorrelated,50,89319,260319,31
09SpannerStronglyCorrelated,100,101200,399200,59
09SpannerStronglyCorrelated,200,394104,961104,105
09SpannerStronglyCorrelated,500,587360,1975360,261
09SpannerStronglyCorrelated,1000,1059589,4341589,589
09SpannerStronglyCorrelated,2000,1260508,7612508,1140
10MultipleStronglyCorrelated,50,119764,194764,34
10MultipleStronglyCorrelated,100,243628,398628,70
10MultipleStronglyCorrelated,200,477237,766237,131
10MultipleStronglyCorrelated,500,1201200,1875200,307
10MultipleStronglyCorrelated,1000,2502568,3788568,586
10MultipleStronglyCorrelated,2000,4878805,7370805,1139
11ProfitCeiling,50,116585,116568,19
11ProfitCeiling,100,243433,243396,45
11ProfitCeiling,200,497718,497643,90
11ProfitCeiling,500,1249679,1249458,244
11ProfitCeiling,1000,2393999,2393610,459
11ProfitCeiling,2000,4936243,4935423,927
12Circle,50,129609,8640160,21
12Circle,100,254769,16983727,46
12Circle,200,513049,34201510,98
12Circle,500,1230885,82054787,226
12Circle,1000,2443749,162908225,460
12Circle,2000,4770600,318023624,936
