group,n,weight,value,item
00Uncorrelated,50,130802,180893,31
00Uncorrelated,100,240546,363530,60
00Uncorrelated,200,506796,814631,118
00Uncorrelated,500,1266192,2078380,302
00Uncorrelated,1000,2496944,4030476,622
00Uncorrelated,2000,4938250,8143634,1247
01WeaklyCorrelated,50,131960,147878,23
01WeaklyCorrelated,100,247799,273154,51
01WeaklyCorrelated,200,491651,548022,107
01WeaklyCorrelated,500,1269755,1408203,264
01WeaklyCorrelated,1000,2512518,2754816,498
01WeaklyCorrelated,2000,4859858,5376960,1019
02StronglyCorrelated,50,116210,151210,35
02StronglyCorrelated,100,237227,308227,71
02StronglyCorrelated,200,475215,616215,141
02StronglyCorrelated,500,1224367,1577367,353
02StronglyCorrelated,1000,2488338,3188338,700
02StronglyCorrelated,2000,4962178,6370178,1408
03InverseStronglyCorrelated,50,164700,147700,17
03InverseStronglyCorrelated,100,299600,267600,32
03InverseStronglyCorrelated,200,613588,549588,64
03InverseStronglyCorrelated,500,1498585,1339585,159
03InverseStronglyCorrelated,1000,2880139,2576139,304
03InverseStronglyCorrelated,2000,6022477,5386477,636
04AlmostStronglyCorrelated,50,123265,158337,35
04AlmostStronglyCorrelated,100,244003,313860,70
04AlmostStronglyCorrelated,200,502927,643355,140
04AlmostStronglyCorrelated,500,1229896,1581030,351
04AlmostStronglyCorrelated,1000,2409849,3119659,710
04AlmostStronglyCorrelated,2000,4922148,6330377,1408
05SubsetSum,50,108240,108240,25
05SubsetSum,100,233898,233898,48
05SubsetSum,200,502063,502063,104
05SubsetSum,500,1209964,1209964,247
05SubsetSum,1000,2418676,2418676,512
05SubsetSum,2000,5004504,5004504,1004
06UncorrelatedWithSimilarWeights,50,2401329,17809,24
06UncorrelatedWithSimilarWeights,100,4902375,36217,49
06UncorrelatedWithSimilarWeights,200,9904931,74488,99
06UncorrelatedWithSimilarWeights,500,24711907,186275,247
06UncorrelatedWithSimilarWeights,1000,49524768,373839,495
06UncorrelatedWithSimilarWeights,2000,99049535,743425,990
07SpannerUncorrelated,50,62949,97860,34
07SpannerUncorrelated,100,117042,236570,69
07SpannerUncorrelated,200,10072,620803,143
07SpannerUncorrelated,500,433675,1155011,296
07SpannerUncorrelated,1000,1910348,840941,414
07SpannerUncorrelated,2000,2698757,2381756,1402
08SpannerWeaklyCorrelated,50,82271,206954,26
08SpannerWeaklyCorrelated,100,99892,376154,71
08SpannerWeaklyCorrelated,200,201955,574637,111
08SpannerWeaklyCorrelated,500,791435,2102690,288
08SpannerWeaklyCorrelated,1000,1047833,3197719,547
08SpannerWeaklyCorrelated,2000,822484,5612622,1090
09SpannerStronglyCorrelated,50,89319,260319,28
09SpannerStronglyCorrelated,100,101208,401208,60
09SpannerStronglyCorrelated,200,393654,969654,105
09SpannerStronglyCorrelated,500,587092,1998092,266
09SpannerStronglyCorrelated,1000,1059250,4688250,662
09SpannerStronglyCorrelated,2000,1260700,8939700,1408
10MultipleStronglyCorrelated,50,120766,195766,34
10MultipleStronglyCorrelated,100,243616,402616,72
10MultipleStronglyCorrelated,200,477648,784648,138
10MultipleStronglyCorrelated,500,1201302,1963302,349
10MultipleStronglyCorrelated,1000,2502708,4054708,694
10MultipleStronglyCorrelated,2000,4878460,7993460,1397
11ProfitCeiling,50,116587,116580,18
11ProfitCeiling,100,243433,243426,42
11ProfitCeiling,200,497719,497700,80
11ProfitCeiling,500,1249678,1249626,206
11ProfitCeiling,1000,2393998,2393907,424
11ProfitCeiling,2000,4936243,4936032,857
12Circle,50,129609,8640164,19
12Circle,100,254769,16983740,38
12Circle,200,513049,34201536,73
12Circle,500,1230885,82054849,183
12Circle,1000,2443749,162908360,359
12Circle,2000,4770600,318023904,735
